"LATITUDE,N,32,10","LONGITUDE,N,32,10","BRIGHTNESS,N,32,10","SCAN,N,32,10","TRACK,N,32,10","ACQ_DATE,D","ACQ_TIME,C,4","SATELLITE,C,1","CONFIDENCE,N,6,0","VERSION,C,6","BRIGHT_T31,N,32,10","FRP,N,32,10","DAYNIGHT,C,1"
44.8532900000,-107.5269400000,311.0200000000,2.9700000000,1.6400000000,10/04/24,1639,T,41,6.1NRT,292.7700000000,39.1600000000,D
44.8189400000,-107.4194000000,322.5200000000,2.9300000000,1.6300000000,10/04/24,1639,T,66,6.1NRT,294.4300000000,82.1100000000,D
44.8155900000,-107.3496400000,325.6700000000,2.9000000000,1.6200000000,10/04/24,1639,T,28,6.1NRT,297.4400000000,84.9700000000,D
44.8141300000,-107.3194300000,378.9000000000,2.8800000000,1.6200000000,10/04/24,1639,T,100,6.1NRT,300.3200000000,674.9200000000,D
44.7996300000,-107.3186000000,376.0800000000,2.8800000000,1.6200000000,10/04/24,1639,T,100,6.1NRT,298.2800000000,630.8900000000,D
44.7981900000,-107.2884100000,315.2600000000,2.8700000000,1.6200000000,10/04/24,1639,T,60,6.1NRT,295.0100000000,49.4900000000,D
43.5828700000,-110.1552300000,314.7700000000,4.1400000000,1.8800000000,10/04/24,1639,T,70,6.1NRT,296.0100000000,82.6900000000,D
43.5813800000,-110.1021000000,308.7400000000,4.1100000000,1.8800000000,10/04/24,1639,T,54,6.1NRT,297.0000000000,48.3800000000,D
41.6921500000,-95.8600800000,306.1200000000,1.0400000000,1.0200000000,10/04/24,1639,T,57,6.1NRT,294.6900000000,4.6900000000,D
41.6902000000,-95.8478700000,306.8000000000,1.0400000000,1.0200000000,10/04/24,1639,T,59,6.1NRT,294.4400000000,5.1100000000,D
40.4979300000,-111.0593300000,312.0100000000,4.4700000000,1.9400000000,10/04/24,1639,T,66,6.1NRT,294.6000000000,72.6100000000,D
40.4958300000,-111.0673900000,308.9000000000,4.4700000000,1.9400000000,10/04/24,1639,T,56,6.1NRT,294.6800000000,55.0600000000,D
49.8624600000,-125.3326800000,328.1400000000,1.4500000000,1.1900000000,10/04/24,1815,T,77,6.1NRT,283.7100000000,48.9500000000,D
49.8606800000,-125.3134700000,310.0100000000,1.4500000000,1.1900000000,10/04/24,1815,T,18,6.1NRT,282.2600000000,19.5400000000,D
46.5082000000,-114.2239300000,302.0500000000,1.5400000000,1.2200000000,10/04/24,1815,T,40,6.1NRT,289.5000000000,8.7900000000,D
46.0694000000,-112.2276900000,315.9400000000,2.0000000000,1.3800000000,10/04/24,1815,T,71,6.1NRT,290.6000000000,37.0900000000,D
46.0634300000,-112.2011000000,326.1600000000,2.0000000000,1.3800000000,10/04/24,1815,T,84,6.1NRT,292.6200000000,64.4900000000,D
44.9136200000,-107.5971500000,314.1400000000,3.8500000000,1.8300000000,10/04/24,1815,T,59,6.1NRT,292.2900000000,76.0500000000,D
44.9011700000,-107.5519500000,309.8200000000,3.8700000000,1.8300000000,10/04/24,1815,T,42,6.1NRT,291.9500000000,51.6900000000,D
44.8634600000,-107.4155700000,333.0000000000,3.9500000000,1.8500000000,10/04/24,1815,T,87,6.1NRT,295.8900000000,214.3900000000,D
44.8470700000,-107.3564800000,318.5800000000,3.9700000000,1.8500000000,10/04/24,1815,T,46,6.1NRT,293.1700000000,93.8400000000,D
44.8860500000,-107.5603200000,332.6600000000,3.8700000000,1.8300000000,10/04/24,1815,T,87,6.1NRT,295.8100000000,212.4100000000,D
44.8692700000,-107.5626800000,343.9000000000,3.8700000000,1.8300000000,10/04/24,1815,T,93,6.1NRT,297.8700000000,334.8600000000,D
44.8582500000,-107.5230700000,344.2600000000,3.9000000000,1.8400000000,10/04/24,1815,T,93,6.1NRT,295.2900000000,327.8100000000,D
44.8331100000,-107.4329100000,361.6100000000,3.9500000000,1.8500000000,10/04/24,1815,T,100,6.1NRT,295.7500000000,616.9200000000,D
44.8187200000,-107.3814200000,367.8200000000,3.9700000000,1.8500000000,10/04/24,1815,T,100,6.1NRT,296.5200000000,763.7400000000,D
46.0652200000,-112.2337900000,305.5000000000,2.0000000000,1.3800000000,10/04/24,1815,T,21,6.1NRT,290.6100000000,14.5200000000,D
46.0597000000,-112.2085700000,329.2000000000,2.0000000000,1.3800000000,10/04/24,1815,T,86,6.1NRT,292.9800000000,72.8600000000,D
44.9053000000,-107.6039600000,316.1300000000,3.8500000000,1.8300000000,10/04/24,1815,T,74,6.1NRT,293.4800000000,94.6500000000,D
44.8937200000,-107.5611600000,315.1400000000,3.8700000000,1.8300000000,10/04/24,1815,T,73,6.1NRT,292.7900000000,87.0900000000,D
44.8567000000,-107.4246300000,335.8600000000,3.9500000000,1.8500000000,10/04/24,1815,T,89,6.1NRT,296.3600000000,249.3800000000,D
44.8409800000,-107.3668000000,324.5700000000,3.9700000000,1.8500000000,10/04/24,1815,T,82,6.1NRT,293.8000000000,141.8000000000,D
44.8774000000,-107.5650500000,342.6100000000,3.8700000000,1.8300000000,10/04/24,1817,T,92,6.1NRT,299.1800000000,327.9900000000,D
44.8668000000,-107.5261200000,327.4200000000,3.9000000000,1.8400000000,10/04/24,1817,T,82,6.1NRT,293.1800000000,164.2800000000,D
44.8136600000,-107.3313800000,316.1700000000,4.0000000000,1.8600000000,10/04/24,1817,T,54,6.1NRT,293.1200000000,78.4400000000,D
44.8617000000,-107.5713000000,337.4600000000,3.8700000000,1.8300000000,10/04/24,1817,T,90,6.1NRT,294.0700000000,267.1200000000,D
44.8500900000,-107.5287600000,345.2700000000,3.9000000000,1.8400000000,10/04/24,1817,T,94,6.1NRT,296.3400000000,362.9100000000,D
44.8263600000,-107.4420300000,367.4100000000,3.9500000000,1.8500000000,10/04/24,1817,T,100,6.1NRT,296.0900000000,763.5000000000,D
44.8129200000,-107.3930100000,391.5700000000,3.9700000000,1.8500000000,10/04/24,1817,T,100,6.1NRT,299.1100000000,1495.1800000000,D
44.7999700000,-107.3458700000,339.0700000000,4.0000000000,1.8600000000,10/04/24,1817,T,90,6.1NRT,295.3500000000,279.8300000000,D
46.2001500000,-113.8822100000,322.5900000000,1.6200000000,1.2500000000,10/04/24,1817,T,82,6.1NRT,294.1400000000,38.6800000000,D
46.1892400000,-113.8856900000,316.3100000000,1.6200000000,1.2500000000,10/04/24,1817,T,77,6.1NRT,291.7900000000,25.3000000000,D
45.8739400000,-113.7354000000,305.6900000000,1.6800000000,1.2800000000,10/04/24,1817,T,61,6.1NRT,291.3300000000,13.0100000000,D
45.9576600000,-117.9926400000,324.5700000000,1.1000000000,1.0500000000,10/04/24,1817,T,70,6.1NRT,281.8700000000,24.4000000000,D
45.9542200000,-118.0146600000,321.6400000000,1.1000000000,1.0500000000,10/04/24,1817,T,80,6.1NRT,284.7200000000,23.7000000000,D
45.9520300000,-118.0017300000,318.6300000000,1.1000000000,1.0500000000,10/04/24,1817,T,77,6.1NRT,279.9700000000,20.3400000000,D
45.2570100000,-114.4754100000,339.0300000000,1.6000000000,1.2500000000,10/04/24,1817,T,91,6.1NRT,291.4800000000,81.8900000000,D
45.2528200000,-114.4548000000,357.7400000000,1.6000000000,1.2500000000,10/04/24,1817,T,99,6.1NRT,297.1600000000,157.8600000000,D
45.2483900000,-114.4330300000,337.0400000000,1.6100000000,1.2500000000,10/04/24,1817,T,90,6.1NRT,293.3000000000,74.9000000000,D
45.2419500000,-114.4580900000,309.1500000000,1.6000000000,1.2500000000,10/04/24,1817,T,63,6.1NRT,289.6400000000,16.4100000000,D
45.2375500000,-114.4364900000,330.4600000000,1.6100000000,1.2500000000,10/04/24,1817,T,87,6.1NRT,289.3900000000,58.0000000000,D
45.3018200000,-114.8651000000,304.4500000000,1.5300000000,1.2200000000,10/04/24,1817,T,51,6.1NRT,290.8300000000,9.6300000000,D
45.2811300000,-114.8741900000,325.4900000000,1.5300000000,1.2200000000,10/04/24,1817,T,83,6.1NRT,291.4600000000,40.0000000000,D
45.2883500000,-114.8763200000,316.4100000000,1.5300000000,1.2200000000,10/04/24,1817,T,58,6.1NRT,291.5900000000,23.3100000000,D
45.2643000000,-114.8686100000,318.2900000000,1.5300000000,1.2200000000,10/04/24,1817,T,71,6.1NRT,291.0800000000,27.6800000000,D
45.0415100000,-114.5162200000,307.4300000000,1.6100000000,1.2500000000,10/04/24,1817,T,42,6.1NRT,293.1300000000,13.1600000000,D
45.0371700000,-114.4951300000,312.7600000000,1.6200000000,1.2500000000,10/04/24,1817,T,72,6.1NRT,293.1300000000,20.6600000000,D
44.9912700000,-114.3859400000,307.9600000000,1.6400000000,1.2600000000,10/04/24,1817,T,47,6.1NRT,292.4200000000,10.5400000000,D
44.9910500000,-114.3922100000,307.8100000000,1.6400000000,1.2600000000,10/04/24,1817,T,44,6.1NRT,292.4900000000,10.5000000000,D
45.0012100000,-114.5564700000,326.2200000000,1.6100000000,1.2500000000,10/04/24,1817,T,84,6.1NRT,293.8800000000,46.5000000000,D
45.1214000000,-115.3817300000,305.9300000000,1.4500000000,1.1900000000,10/04/24,1817,T,60,6.1NRT,292.8700000000,12.5200000000,D
45.4077100000,-117.5230300000,305.4300000000,1.1600000000,1.0700000000,10/04/24,1817,T,60,6.1NRT,291.4600000000,6.8600000000,D
44.8109000000,-115.0186200000,318.5900000000,1.5400000000,1.2200000000,10/04/24,1817,T,78,6.1NRT,291.0100000000,28.0400000000,D
44.8077600000,-115.1157800000,314.7400000000,1.5200000000,1.2200000000,10/04/24,1817,T,65,6.1NRT,291.4300000000,20.1800000000,D
44.8042200000,-115.0980400000,312.6200000000,1.5300000000,1.2200000000,10/04/24,1817,T,47,6.1NRT,292.5800000000,16.8700000000,D
43.6304200000,-110.1690800000,309.6900000000,3.0600000000,1.6600000000,10/04/24,1817,T,52,6.1NRT,291.9600000000,39.2100000000,D
43.5766400000,-110.0792200000,306.6300000000,3.1100000000,1.6700000000,10/04/24,1817,T,41,6.1NRT,292.6100000000,26.0900000000,D
43.5792700000,-110.1517000000,338.7000000000,3.0800000000,1.6700000000,10/04/24,1817,T,90,6.1NRT,295.4900000000,200.7500000000,D
43.5706500000,-110.1175700000,325.2200000000,3.0900000000,1.6700000000,10/04/24,1817,T,82,6.1NRT,294.2300000000,107.4000000000,D
43.5788200000,-110.1582800000,331.5500000000,3.0800000000,1.6700000000,10/04/24,1817,T,86,6.1NRT,294.7900000000,148.7100000000,D
43.5703500000,-110.1239400000,324.8400000000,3.0900000000,1.6700000000,10/04/24,1817,T,81,6.1NRT,294.3200000000,107.3200000000,D
44.5259100000,-115.7104900000,334.9300000000,1.4400000000,1.1900000000,10/04/24,1817,T,88,6.1NRT,293.2700000000,58.7000000000,D
44.5221600000,-115.6913800000,341.3900000000,1.4500000000,1.1900000000,10/04/24,1817,T,92,6.1NRT,293.9900000000,76.5700000000,D
44.5155800000,-115.7136500000,351.9200000000,1.4400000000,1.1900000000,10/04/24,1817,T,96,6.1NRT,294.9200000000,109.9900000000,D
44.5120400000,-115.6956700000,352.4000000000,1.4500000000,1.1900000000,10/04/24,1817,T,97,6.1NRT,294.3400000000,111.8600000000,D
44.5069600000,-115.7035800000,318.4200000000,1.4500000000,1.1900000000,10/04/24,1817,T,76,6.1NRT,292.7500000000,24.6300000000,D
44.3860100000,-115.7914400000,347.2600000000,1.4400000000,1.1900000000,10/04/24,1817,T,94,6.1NRT,292.3200000000,93.8400000000,D
44.3824000000,-115.7728000000,330.3300000000,1.4400000000,1.1900000000,10/04/24,1817,T,85,6.1NRT,292.0100000000,47.1600000000,D
44.3757100000,-115.7947100000,332.3500000000,1.4400000000,1.1900000000,10/04/24,1817,T,87,6.1NRT,293.1600000000,53.1400000000,D
