LATITUDE;LONGITUDE;BRIGHT_TI4;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;CONFIDENCE;VERSION;BRIGHT_TI5;FRP;DAYNIGHT;
4441955,00;-11392596,00;297.21; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;283.07;3.4;N;
444395,00;-11393613,00;324.56; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;285.41;4.21;N;
4443945,00;-11394271,00;295.28; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;282.33;4.21;N;
4443231,00;-11393304,00;300.53; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;283.16;4.64;N;
44425,00;-11394324,00;295.66; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;280.56;3.36;N;
4442518,00;-11392442,00;299.38; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;283.28;2.05;N;
4173285,00;-8940313,00;295.88; 0.56 ;0.43;20240928,00;0818;N20;nominal;2.0NRT;283.59;0.52;N;
4257401,00;-9452525,00;297.78; 0.39 ;0.36;20240928,00;0818;N20;nominal;2.0NRT;282.61;0.26;N;
4359113,00;-10531619,00;295.15; 0.57 ;0.52;20240928,00;0818;N20;nominal;2.0NRT;284.66;1.68;N;
4146091,00;-9068537,00;306.49; 0.5 ;0.41;20240928,00;0818;N20;nominal;2.0NRT;287.61;1.71;N;
4213734,00;-9447556,00;296.33; 0.39 ;0.36;20240928,00;0818;N20;nominal;2.0NRT;283.31;0.27;N;
4359648,00;-1101244,00;333.13; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;280.77;4.74;N;
4359691,00;-11014337,00;298.97; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;279.8;2.2;N;
4359661,00;-11013023,00;316.84; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;277.94;4.74;N;
4359635,00;-11011885,00;298.01; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;276.29;2.57;N;
4359114,00;-11015755,00;327.6; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;279.89;4.53;N;
4359055,00;-11013087,00;329.18; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;286.99;5.79;N;
4359029,00;-11011984,00;322.38; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;279.63;5.36;N;
4359097,00;-110.15;319.87; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;282.85;4.53;N;
4359082,00;-11014346,00;314.79; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;281.49;5.35;N;
4359068,00;-11013702,00;317.74; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;283.56;5.35;N;
4359042,00;-11012534,00;311.35; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;282.19;5.79;N;
4358475,00;-11014428,00;331.54; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;281.56;5.35;N;
4358462,00;-11013817,00;324.01; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;280.98;5.35;N;
4358422,00;-11012012,00;330.19; 0.5 ;0.66;20240928,00;0818;N20;nominal;2.0NRT;276.95;5.36;N;
